F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-int[],F3-Integer,F3-Long,F3-PrintStream,F3-ResultSet,F3-InputStream,F3-TransactionController,F3-null,F3-byte[],F3-boolean,F3-Object[],F3-char,F3-String,F3-long,F3-int,F3-PrintWriter,F3-SQLException,F3-QualifiedIdentifier,F3-Connection,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-mamta@apache.org,F71-djd@apache.org,F71-lilywei@apache.org,F71-davidvc@apache.org,F71-kmarsden@apache.org,F71-rhillegas@apache.org,F71-bakksjo@apache.org,F71-mikem@apache.org,F71-myrnavl@apache.org,F71-kristwaa@apache.org,F71-dag@apache.org,F71-kahatlen@apache.org,F71-bandaram@apache.org,F71-oysteing@apache.org,F71-abrown@apache.org,F71-suresht@apache.org,F71-bernt@apache.org,F71-fuzzylogic@apache.org,F71-bpendleton@apache.org,F71-coar@apache.org,category
2201,872,39,47,0.9329842931937172,0.4362657091561939,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1281008221198313,-0.9285714285714286,0.1281008221198313,-0.8,23,255,127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
7791,2985,20,47,0.517578125,0.2521246458923513,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1281008221198313,-0.9285714285714286,0.1281008221198313,-1.0,5931,255,321,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,open
7791,2985,20,47,0.529296875,0.2521246458923513,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1281008221198313,-0.9285714285714286,0.1281008221198313,-1.0,7035,255,321,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,open
2201,872,39,47,0.9361256544502616,0.4362657091561939,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1281008221198313,-0.9285714285714286,0.1281008221198313,-0.8,23,255,127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
3644,1830,13,48,3.45,0.8888888888888888,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7379,0,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
3346,1664,129,10,2.770718232044199,0.1012658227848101,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7379,0,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
3346,1664,129,10,2.8011049723756907,0.1012658227848101,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043920691036579,-1.0,0.0043920691036579,-1.0,7379,0,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
8134,3245,8,16,0.4119402985074626,0.1563786008230452,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.0412371134020618,0.1281008221198313,-0.9175257731958762,0.1281008221198313,-1.0,7379,5,21,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,open
8134,3245,8,16,0.4059701492537313,0.1563786008230452,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,PERFORMANCE,URF_UNREAD_FIELD,2,0.0,0.0754716981132075,0.1409213429552811,-0.8490566037735849,0.1409213429552811,-1.0,7379,5,21,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,open
1034,114,85,16,0.85519238725693,0.5753823743627094,0.1578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,STYLE,DLS_DEAD_LOCAL_STORE,2,-1.0,0.0273972602739726,0.1281008221198313,-0.9452054794520548,0.1281008221198313,-1.0,2408,5,846,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
