F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
2201,1237,39,45,0.9339525283797728,0.4693140794223827,1.0,66,2,0.0,0.0178571428571428,0.0375346093089865,-0.9642857142857144,0.0375346093089865,-0.8,491,1832,136,close
7791,3350,20,45,0.5166340508806262,0.2528409090909091,1.0,66,2,0.0,0.0178571428571428,0.0375346093089865,-0.9642857142857144,0.0375346093089865,-1.0,6399,1832,329,open
7791,3350,20,45,0.5283757338551859,0.2528409090909091,1.0,66,2,0.0,0.0178571428571428,0.0375346093089865,-0.9642857142857144,0.0375346093089865,-1.0,7503,1832,329,open
2201,1237,39,45,0.9370485036119712,0.4693140794223827,1.0,66,2,0.0,0.0178571428571428,0.0375346093089865,-0.9642857142857144,0.0375346093089865,-0.8,491,1832,136,open
3644,2195,13,48,3.45,0.8888888888888888,1.0,13,3,-0.5,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7847,0,264,open
3346,2029,129,10,2.798342541436464,0.1012658227848101,1.0,3,3,-0.5,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7847,0,151,open
3346,2029,129,10,2.828729281767956,0.1012658227848101,1.0,3,3,-0.5,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7847,0,151,open
8134,3610,8,16,0.4119402985074626,0.1563786008230452,1.0,29,3,-1.0,0.0222222222222222,0.0375346093089865,-0.9555555555555556,0.0375346093089865,-1.0,7847,15,21,open
8134,3610,8,16,0.4059701492537313,0.1563786008230452,1.0,29,2,0.0,0.0384615384615384,0.1478805749633123,-0.9230769230769232,0.1478805749633123,-1.0,7847,15,21,open
1034,479,82,16,0.8462830743385132,0.5676470588235294,0.1578947368421052,29,2,-1.0,0.0174672489082969,0.0375346093089865,-0.965065502183406,0.0375346093089865,-1.0,2876,15,705,open
1034,479,82,16,0.7681646367072659,0.5676470588235294,1.0,29,1,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7847,15,705,open
1034,479,82,16,0.2805543889122217,0.5676470588235294,1.0,29,3,-1.0,0.0,3.1603468852409725e-05,-1.0,3.1603468852409725e-05,-1.0,7847,15,705,open
1034,479,82,16,0.8047039059218816,0.5676470588235294,1.0,29,2,-1.0,0.0192307692307692,0.0375346093089865,-0.9615384615384616,0.0375346093089865,-1.0,4171,15,705,open
1034,479,82,16,0.7757244855102898,0.5676470588235294,1.0,29,2,-1.0,0.0192307692307692,0.0375346093089865,-0.9615384615384616,0.0375346093089865,-1.0,4171,15,705,open
1034,479,82,16,0.7381352372952541,0.5676470588235294,1.0,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,3287,15,705,open
1034,479,82,16,0.376942461150777,0.5676470588235294,0.3181818181818182,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,3287,15,705,open
1034,479,82,16,0.3433431331373373,0.5676470588235294,0.3653846153846153,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,3287,15,705,open
1034,479,82,16,0.5293994120117598,0.5676470588235294,0.4130434782608695,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,4451,15,705,open
1034,479,82,16,0.3215035699286014,0.5676470588235294,0.3653846153846153,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,3287,15,705,open
1034,479,82,16,0.868752624947501,0.5676470588235294,0.275,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,7531,15,705,open
1034,479,82,16,0.878202435951281,0.5676470588235294,0.1282051282051282,29,2,-1.0,0.0,0.0014592015931885,-1.0,0.0014592015931885,-1.0,7194,15,705,open
1034,479,82,16,0.7379252414951701,0.5676470588235294,1.0,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7847,15,705,open
1034,479,82,16,0.376732465350693,0.5676470588235294,0.6363636363636364,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,1089,15,705,open
1034,479,82,16,0.3431331373372532,0.5676470588235294,0.6923076923076923,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,1089,15,705,open
1034,479,82,16,0.5291894162116758,0.5676470588235294,0.8260869565217391,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,4451,15,705,open
1034,479,82,16,0.3212935741285174,0.5676470588235294,0.6923076923076923,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,1089,15,705,open
1034,479,82,16,0.8685426291474171,0.5676470588235294,0.5,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7531,15,705,open
1034,479,82,16,0.877782444351113,0.5676470588235294,0.3846153846153846,29,3,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7531,15,705,open
1034,479,82,16,0.868962620747585,0.5676470588235294,0.6,29,3,-1.0,0.0,4.66688885610684e-05,-1.0,4.66688885610684e-05,-1.0,2876,15,705,open
1034,479,82,16,0.8786224275514489,0.5676470588235294,1.0,29,3,-1.0,0.0,4.66688885610684e-05,-1.0,4.66688885610684e-05,-1.0,2876,15,705,open
1034,479,82,16,0.7379252414951701,0.5676470588235294,1.0,29,2,-1.0,0.0256410256410256,4.66688885610684e-05,-0.9487179487179488,4.66688885610684e-05,-1.0,7847,15,705,open
1034,479,82,16,0.376732465350693,0.5676470588235294,0.6363636363636364,29,3,-1.0,0.0256410256410256,4.66688885610684e-05,-0.9487179487179488,4.66688885610684e-05,-1.0,1089,15,705,open
1034,479,82,16,0.3431331373372532,0.5676470588235294,0.6923076923076923,29,3,-1.0,0.0256410256410256,4.66688885610684e-05,-0.9487179487179488,4.66688885610684e-05,-1.0,1089,15,705,open
1034,479,82,16,0.5291894162116758,0.5676470588235294,0.8260869565217391,29,3,-1.0,0.0256410256410256,4.66688885610684e-05,-0.9487179487179488,4.66688885610684e-05,-1.0,4451,15,705,open
1034,479,82,16,0.3212935741285174,0.5676470588235294,0.6923076923076923,29,3,-1.0,0.0256410256410256,4.66688885610684e-05,-0.9487179487179488,4.66688885610684e-05,-1.0,1089,15,705,open
1034,479,82,16,0.880302393952121,0.5676470588235294,0.7692307692307693,29,3,-1.0,0.0256410256410256,4.66688885610684e-05,-0.9487179487179488,4.66688885610684e-05,-1.0,2876,15,705,open
1288,671,11,16,0.75,1.0579710144927537,0.4,17,2,-1.0,0.0174672489082969,0.0375346093089865,-0.965065502183406,0.0375346093089865,-1.0,1002,1,82,open
8134,3610,20,16,0.3392857142857143,0.4473684210526316,0.5311355311355311,17,2,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,7846,1,487,open
4132,2334,4,16,0.5945945945945946,0.3636363636363636,1.0,17,2,0.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,3844,1,41,open
956,442,24,16,0.8734693877551021,0.3248407643312102,1.0,17,2,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,7846,1,95,open
4740,2547,10,16,0.4479638009049774,1.091954022988506,0.7142857142857143,17,2,-1.0,0.0,0.000378414755946487,-1.0,0.000378414755946487,-1.0,4452,1,5,open
4740,2547,10,16,0.4479638009049774,1.091954022988506,0.7142857142857143,17,2,-1.0,0.0,0.000378414755946487,-1.0,0.000378414755946487,-1.0,4452,1,5,open
8134,3610,20,16,0.4325396825396825,0.4473684210526316,0.5357142857142857,17,2,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,7846,1,487,open
2919,1677,29,16,0.7788778877887789,0.7745098039215687,1.0,17,2,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7847,1,39,open
2919,1677,29,16,0.9851485148514852,0.7745098039215687,0.75,17,3,-1.0,0.0222222222222222,0.0375346093089865,-0.9555555555555556,0.0375346093089865,-1.0,3883,1,39,open
2919,1677,29,16,0.9966996699669968,0.7745098039215687,0.75,17,3,-1.0,0.0222222222222222,0.0375346093089865,-0.9555555555555556,0.0375346093089865,-1.0,3883,1,39,open
2919,1677,29,16,0.7788778877887789,0.7745098039215687,1.0,17,1,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7846,1,39,open
2919,1677,29,16,0.7788778877887789,0.7745098039215687,1.0,17,2,-1.0,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7846,1,39,open
2919,1677,29,16,0.9818481848184818,0.7745098039215687,1.0,17,3,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,7846,1,39,open
2919,1677,29,16,0.9933993399339934,0.7745098039215687,1.0,17,3,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,7846,1,39,open
2927,1684,7,16,0.7142857142857143,1.3863636363636365,0.6666666666666666,17,2,-1.0,0.0174672489082969,0.0375346093089865,-0.965065502183406,0.0375346093089865,-1.0,2639,1,4,open
8134,3610,9,16,0.5245901639344263,1.0789473684210529,0.4285714285714285,17,3,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,2528,1,29,open
8134,3610,20,16,0.4325396825396825,0.4473684210526316,0.5357142857142857,17,2,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,7846,1,487,open
7791,3350,17,4,0.329126213592233,0.6678700361010831,0.1911764705882352,3,2,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,3721,3,331,open
926,433,6,4,0.4519230769230769,0.1830985915492957,1.0,3,2,0.0,0.0384615384615384,0.1478805749633123,-0.9230769230769232,0.1478805749633123,-1.0,7503,3,121,open
7791,3350,13,4,0.5162790697674419,0.6052631578947368,0.8333333333333334,3,3,-0.5,0.0,0.0019023131892732,-1.0,0.0019023131892732,-1.0,7503,3,55,open
5209,2621,5,83,0.4459459459459459,0.7857142857142857,1.0,68,3,0.0,0.0384615384615384,0.1478805749633123,-0.9230769230769232,0.1478805749633123,-1.0,4921,16,125,open
6515,2892,5,83,0.9666666666666668,0.6864406779661016,0.3333333333333333,68,3,-1.0,0.0,0.0375346093089865,-1.0,0.0375346093089865,-1.0,6227,16,171,open
926,433,26,83,0.0714285714285714,0.2901353965183752,0.4285714285714285,68,2,-1.0,0.0,0.1195916711736073,-1.0,0.1195916711736073,-1.0,638,16,657,open
926,433,133,83,0.4611295681063123,0.0466034755134281,1.0,68,1,-1.0,0.0174672489082969,0.0375346093089865,-0.965065502183406,0.0375346093089865,-1.0,638,16,1315,open
926,433,133,83,0.4803986710963455,0.0466034755134281,1.0,68,1,-1.0,0.0174672489082969,0.0375346093089865,-0.965065502183406,0.0375346093089865,-1.0,638,16,1315,open
926,433,133,83,0.0385382059800664,0.0466034755134281,1.0,68,3,0.0,0.0454545454545454,0.0375346093089865,-0.9090909090909092,0.0375346093089865,-1.0,638,16,1315,open
926,433,11,83,0.8191489361702128,0.1366906474820144,0.4444444444444444,68,2,1.0,0.3349514563106796,0.1478805749633123,-0.3300970873786408,0.1478805749633123,1.0,638,16,0,close
926,433,38,83,0.935672514619883,0.3269230769230769,0.6666666666666666,68,2,-1.0,0.0,0.1195916711736073,-1.0,0.1195916711736073,-1.0,638,16,942,open
315,14,159,83,0.5012130033964095,0.2765171503957783,1.0,68,2,0.0,0.0120481927710843,7.256175492633187e-05,-0.9759036144578314,7.256175492633187e-05,-1.0,638,16,90,open
