F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
4679,188,44,59,0.5047219307450157,0.174757281553398,1.0,35,3,-1.0,0.238095238095238,0.6316571022766239,-0.2976190476190476,0.6316571022766239,-1.0,15083,40,892,open
4679,188,44,59,0.1122770199370409,0.174757281553398,1.0,35,3,-1.0,0.1896551724137931,0.6316571022766239,-0.4913793103448275,0.6316571022766239,-1.0,15326,40,892,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
10892,1005,2,59,0.7737226277372263,0.3146067415730337,1.0,35,3,1.0,0.1896551724137931,0.6316571022766239,-0.4913793103448275,0.6316571022766239,-0.5,7721,40,4,close
10892,1005,2,59,0.9562043795620438,0.3146067415730337,1.0,35,3,0.0,0.0,0.4650724726145331,-0.6666666666666666,0.4650724726145331,-0.5,7721,40,4,open
10892,1005,2,59,0.9562043795620438,0.3146067415730337,1.0,35,3,0.0,0.0,0.4650724726145331,-0.6666666666666666,0.4650724726145331,-0.5,7721,40,4,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
4172,126,5,59,0.6956521739130435,0.2349397590361445,0.6752136752136753,35,3,-1.0,0.6790123456790124,0.2291872982021614,0.3950617283950617,0.2291872982021614,-1.0,11835,40,538,open
4172,126,5,59,0.2391304347826087,0.2349397590361445,1.0,35,2,0.0,0.2555555555555555,0.6316571022766239,-0.3222222222222222,0.6316571022766239,-1.0,11835,40,538,open
4172,126,5,59,0.2434782608695652,0.2349397590361445,1.0,35,2,0.0,0.2555555555555555,0.6316571022766239,-0.3222222222222222,0.6316571022766239,-1.0,11835,40,538,open
4172,126,5,59,0.2521739130434782,0.2349397590361445,1.0,35,2,0.0,0.2555555555555555,0.6316571022766239,-0.3222222222222222,0.6316571022766239,-1.0,11835,40,538,open
4172,126,5,59,0.2565217391304348,0.2349397590361445,1.0,35,2,0.0,0.2555555555555555,0.6316571022766239,-0.3222222222222222,0.6316571022766239,-1.0,11835,40,538,open
4172,126,5,59,0.8652173913043478,0.2349397590361445,1.0,35,3,0.0,0.3127272727272727,0.2291872982021614,-0.24,0.2291872982021614,-1.0,11835,40,538,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
12834,1171,11,59,0.6058823529411764,0.75,0.3594470046082949,35,2,-1.0,0.5517241379310345,0.6316571022766239,0.1517241379310344,0.6316571022766239,-1.0,13243,40,300,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
6560,456,1,59,0.7789473684210526,0.4464285714285714,1.0,35,2,-1.0,0.0,0.6316571022766239,-0.75,0.6316571022766239,-1.0,9049,40,137,open
6560,456,1,59,0.6421052631578947,0.4464285714285714,1.0,35,2,0.0,0.3714285714285714,0.2291872982021614,-0.1809523809523809,0.2291872982021614,-1.0,14087,40,137,open
6560,456,1,59,0.6947368421052632,0.4464285714285714,1.0,35,3,0.0,0.3714285714285714,0.2291872982021614,-0.1809523809523809,0.2291872982021614,-1.0,14087,40,137,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
12934,1178,5,59,0.8282828282828283,0.2835820895522388,0.7105263157894737,35,3,-1.0,0.5789473684210527,0.6316571022766239,0.1842105263157894,0.6316571022766239,-1.0,9763,40,74,open
12934,1178,5,59,0.3232323232323232,0.2835820895522388,1.0,35,3,0.0,0.3714285714285714,0.2291872982021614,-0.1809523809523809,0.2291872982021614,-1.0,9763,40,74,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
3770,79,3,59,0.6607142857142857,0.53125,1.0,35,3,0.0,0.3714285714285714,0.2291872982021614,-0.1809523809523809,0.2291872982021614,-1.0,599,40,39,open
4309,144,14,59,0.914691943127962,0.4351145038167939,0.6,35,3,0.0,0.1896551724137931,0.6316571022766239,-0.4913793103448275,0.6316571022766239,0.0,16452,40,1859,close
4309,144,14,59,0.919431279620853,0.4351145038167939,0.8,35,3,0.0,0.1896551724137931,0.6316571022766239,-0.4913793103448275,0.6316571022766239,0.0,9865,40,1859,open
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19872,2168,5,9,0.3666666666666666,0.8133333333333334,1.0,4,2,0.0,0.2580645161290322,0.1710660097389952,-0.4838709677419355,0.1710660097389952,1.0,17875,0,285,close
19872,2168,5,9,0.4533333333333333,0.8133333333333334,1.0,4,2,0.0,0.2580645161290322,0.1710660097389952,-0.4838709677419355,0.1710660097389952,1.0,17875,0,285,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
19865,2166,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,80,2,1.0,0.9565217391304348,0.6316571022766239,0.9130434782608696,0.6316571022766239,150.0,17755,731,1461,close
17957,1882,19,6,0.4189453125,0.2264397905759162,1.0,3,2,1.0,0.2,0.6316571022766239,-0.6,0.6316571022766239,1.0,21404,0,2574,close
17957,1882,27,10,0.0107381251813872,0.0073066510095573,0.6666666666666666,10,2,-1.0,0.2689655172413793,0.6316571022766239,-0.3655172413793103,0.6316571022766239,-1.0,14786,0,89919,open
17957,1882,27,10,0.9595627358034244,0.0073066510095573,0.6666666666666666,10,2,-1.0,0.2689655172413793,0.6316571022766239,-0.3655172413793103,0.6316571022766239,-1.0,14786,0,89919,open
17957,1882,27,10,0.071265034987585,0.0073066510095573,0.6666666666666666,10,2,-1.0,0.2689655172413793,0.6316571022766239,-0.3655172413793103,0.6316571022766239,-1.0,14786,0,89919,open
17957,1882,27,10,0.9555319080326335,0.0073066510095573,0.8888888888888888,10,3,-1.0,0.2689655172413793,0.6316571022766239,-0.3655172413793103,0.6316571022766239,-1.0,10855,0,89919,open
17957,1882,27,10,0.9885132302661568,0.0073066510095573,0.027027027027027,10,3,-1.0,0.2941176470588235,0.6316571022766239,-0.3529411764705882,0.6316571022766239,-1.0,14803,0,89919,open
17957,1882,27,10,0.9745574151107672,0.0073066510095573,0.6666666666666666,10,3,-1.0,0.6790123456790124,0.2291872982021614,0.3950617283950617,0.2291872982021614,-1.0,14786,0,89919,open
17957,1882,27,10,0.972880590758118,0.0073066510095573,0.5499999999999999,10,3,-1.0,0.6790123456790124,0.2291872982021614,0.3950617283950617,0.2291872982021614,-1.0,14803,0,89919,open
