F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-planItemIterator.next(),F3-Model,F3-Class,F3-localRepository(),F3-DefaultBeanConfigurationRequest,F3-ArtifactRepository,F3-File,F3-RepositoryMetadata,F3-InputStream,F3-null,F3-boolean,F3-ProjectSegment,F3-XmlPullParser,F3-String,F3-int,F3-MavenSession,F3-Artifact,F3-SimpleProblemCollector,F3-MavenProject,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-bimargulies@apache.org,F71-ogusakov@apache.org,F71-vsiveton@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-evenisse@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-stephenc@apache.org,F71-bentmann@apache.org,F71-krosenvold@apache.org,F71-joakime@apache.org,F71-trygvis@apache.org,F71-jdcasey@apache.org,category
2658,1341,17,29,0.5273364485981308,0.0502215657311669,0.0857142857142857,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,1.0,1.0,0.0892857142857142,1.0,0.0892857142857142,0.3333333333333333,9068,31,1850,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,close
2658,1341,17,29,0.5502336448598131,0.0502215657311669,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.1944444444444444,0.1486272236375116,-0.5555555555555556,0.1486272236375116,0.3333333333333333,1117,31,1850,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,open
2658,1341,17,29,0.522196261682243,0.0502215657311669,0.2142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,BAD_PRACTICE,UI_INHERITANCE_UNSAFE_GETRESOURCE,3,1.0,0.2,0.1486272236375116,-0.6,0.1486272236375116,0.3333333333333333,691,31,1850,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
9780,3066,4,29,0.3773584905660377,0.0454545454545454,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,PERFORMANCE,URF_UNREAD_FIELD,2,0.0,0.0,0.331596779357607,-1.0,0.331596779357607,-1.0,1864,31,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
9780,3066,4,29,0.3584905660377358,0.0454545454545454,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,PERFORMANCE,URF_UNREAD_FIELD,2,0.0,0.0,0.331596779357607,-1.0,0.331596779357607,-1.0,2125,31,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
4237,1909,3,29,0.875,1.4,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,STYLE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,-1.0,0.25,0.355314404169412,-0.5,0.355314404169412,-1.0,3525,31,50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,open
1414,860,12,29,0.4777070063694267,0.2830188679245283,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,1.0,0.04,0.355314404169412,-0.808,0.355314404169412,1.0,702,31,270,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
4522,2080,24,12,0.7849162011173184,0.1285140562248996,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,3,-0.3333333333333333,1.0,0.1486272236375116,1.0,0.1486272236375116,-0.5,2873,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,close
4522,2080,24,12,0.3072625698324022,0.1285140562248996,0.5714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.1944444444444444,0.1486272236375116,-0.5555555555555556,0.1486272236375116,-0.5,6867,2,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
4522,2080,24,12,0.776536312849162,0.1285140562248996,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-0.3333333333333333,0.1944444444444444,0.1486272236375116,-0.5555555555555556,0.1486272236375116,-0.5,6867,2,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
4522,2080,24,12,0.8463687150837989,0.1285140562248996,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-0.3333333333333333,0.0921052631578947,0.355314404169412,-0.5131578947368421,0.355314404169412,-0.5,2019,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
7756,2713,6,12,0.5967741935483871,0.6833333333333333,0.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,MT_CORRECTNESS,LI_LAZY_INIT_STATIC,3,-1.0,0.0,0.2477678571428571,-1.0,0.2477678571428571,-1.0,7044,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
5759,2529,12,12,0.4285714285714285,0.217391304347826,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0921052631578947,0.355314404169412,-0.5131578947368421,0.355314404169412,-1.0,3666,2,118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,open
9785,3066,3,5,0.8955223880597015,0.6176470588235294,0.5454545454545454,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0921052631578947,0.355314404169412,-0.5131578947368421,0.355314404169412,-1.0,6143,0,158,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
8218,2754,14,4,0.582089552238806,0.2558139534883721,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,CORRECTNESS,UWF_UNWRITTEN_FIELD,2,0.0,0.0,0.0811631944444444,-1.0,0.0811631944444444,-1.0,7506,0,115,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,open
2658,1341,3,4,0.9344262295081968,0.75,0.7142857142857143,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.0921052631578947,0.355314404169412,-0.5131578947368421,0.355314404169412,-1.0,6143,0,130,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,open
9785,3066,5,3,0.2527472527472527,0.1615384615384615,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,1,0.0,0.0,0.1486272236375116,-1.0,0.1486272236375116,-1.0,9073,0,2990,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,open
6489,2636,2,3,0.8157894736842105,1.5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,BAD_PRACTICE,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,1,0.0,0.0,0.1486272236375116,-1.0,0.1486272236375116,-1.0,5777,0,137,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,open
