F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
11856,3757,27,7,0.156891495601173,0.4133663366336633,0.6666666666666666,3,2,1.0,0.125,0.1128856990099961,-0.75,0.1128856990099961,1.0,9010,0,19,close
11856,3757,27,7,0.3328445747800586,0.4133663366336633,0.3571428571428571,3,2,1.0,0.1,0.1128856990099961,-0.8,0.1128856990099961,1.0,9010,0,19,close
11856,3757,27,7,0.3284457478005865,0.4133663366336633,0.1428571428571428,3,2,1.0,0.1,0.1128856990099961,-0.8,0.1128856990099961,1.0,9010,0,19,close
8614,2605,8,1,0.9666666666666668,0.3009708737864077,1.0,1,3,1.0,0.2142857142857142,0.4338654477991909,-0.5535714285714286,0.4338654477991909,1.0,5768,0,106,close
13761,4706,22,12,0.3517241379310344,0.1451612903225806,1.0,6,2,1.0,0.8,0.0957247003602361,0.6,0.0957247003602361,0.3333333333333333,4118,2,1437,close
13761,4706,22,12,0.9060344827586206,0.1451612903225806,0.4137931034482758,6,2,-1.0,0.125,0.1128856990099961,-0.75,0.1128856990099961,0.3333333333333333,8778,2,1437,open
13761,4706,22,12,0.7077586206896552,0.1451612903225806,1.0,6,2,-1.0,0.2142857142857142,0.4338654477991909,-0.5535714285714286,0.4338654477991909,0.3333333333333333,10915,2,1437,open
13761,4706,22,12,0.2689655172413793,0.1451612903225806,1.0,6,3,0.0,0.71875,0.1677679897339876,0.4375,0.1677679897339876,0.3333333333333333,10915,2,1437,open
13761,4706,22,12,0.8724137931034482,0.1451612903225806,1.0,6,3,1.0,0.5,0.4338654477991909,0.0,0.4338654477991909,0.3333333333333333,606,2,1437,close
13761,4706,22,12,0.8577586206896551,0.1451612903225806,1.0,6,3,0.0,0.71875,0.1677679897339876,0.4375,0.1677679897339876,0.3333333333333333,10915,2,1437,open
8608,2604,1,24,0.5087719298245614,0.4857142857142857,1.0,21,3,0.0,0.8333333333333334,0.4338654477991909,0.6666666666666666,0.4338654477991909,1.0,5762,2,41,open
