F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-((ThroughputController)el).getMaxThroughput(),F3-JMeterTreeNode,F3-StringProperty,F3-CollectionProperty,F3-TextMessage,F3-TestElementProperty,F3-GenericController,F3-HashTree,F3-byte[],F3-boolean,F3-JMeterFileFilter,F3-String,F3-InterleaveControl.IGNORE_SUB_CONTROLLERS,F3-int,F3-URL,F3-Node,F3-String[],F3-Date,F3-Locale,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-milamber@apache.org,F71-thads@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,category
11856,2846,27,7,0.156891495601173,0.4133663366336633,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,MALICIOUS_CODE,EI_EXPOSE_REP,2,1.0,0.3636363636363636,0.1653681910833421,-0.2727272727272727,0.1653681910833421,1.0,7098,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,close
11856,2846,27,7,0.3328445747800586,0.4133663366336633,0.3571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.1052631578947368,0.1653681910833421,-0.7894736842105263,0.1653681910833421,1.0,7098,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,close
11856,2846,27,7,0.3284457478005865,0.4133663366336633,0.1428571428571428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.1052631578947368,0.1653681910833421,-0.7894736842105263,0.1653681910833421,1.0,7098,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,close
8614,1694,8,1,0.9666666666666668,0.3009708737864077,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.3958333333333333,0.3518318831535469,-0.2083333333333333,0.3518318831535469,1.0,3856,2,106,0,0,0,0,0,0,0,0,1,0,0,0,1,0,close
13761,3795,22,13,0.342512908777969,0.1339001062699256,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,BAD_PRACTICE,DM_EXIT,2,1.0,0.8333333333333334,0.0837600739859955,0.6666666666666666,0.0837600739859955,0.5,2206,12,1412,0,0,0,0,0,0,0,0,1,0,0,0,1,0,close
13761,3795,22,13,0.9061962134251292,0.1339001062699256,0.4137931034482758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,MALICIOUS_CODE,EI_EXPOSE_REP,2,-1.0,0.3636363636363636,0.1653681910833421,-0.2727272727272727,0.1653681910833421,0.5,6866,12,1412,0,0,0,0,0,0,0,0,1,1,0,0,1,1,open
13761,3795,22,13,0.261617900172117,0.1339001062699256,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.7333333333333333,0.0507433447509164,0.4666666666666667,0.0507433447509164,0.5,9003,12,1412,0,0,1,0,1,1,0,1,1,1,0,0,1,1,open
13761,3795,22,13,0.8614457831325302,0.1339001062699256,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.7333333333333333,0.0507433447509164,0.4666666666666667,0.0507433447509164,0.5,9003,12,1412,0,0,1,0,1,1,0,1,1,1,0,0,1,1,open
7835,1234,7,13,0.8054187192118226,0.5,0.9393939393939394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,BAD_PRACTICE,DM_EXIT,2,1.0,0.8333333333333334,0.0837600739859955,0.6666666666666666,0.0837600739859955,1.0,6700,12,385,1,0,0,0,0,0,0,1,1,0,0,0,1,0,close
7835,1234,7,13,0.3990147783251231,0.5,0.2608695652173913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,MALICIOUS_CODE,EI_EXPOSE_REP,2,1.0,0.3636363636363636,0.1653681910833421,-0.2727272727272727,0.1653681910833421,1.0,6700,12,385,1,0,0,0,0,0,0,1,1,0,0,0,1,0,close
