F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Type[],F3-new ToStringBuilder(base).append(array).toString(),F3-Class,F3-Integer,F3-Throwable,F3-!new EqualsBuilder().append(obj1 obj2).isEquals(),F3-baseStr +  [  + SystemUtils.LINE_SEPARATOR+    <null> + SystemUtils.LINE_SEPARATOR+  ] ,F3-null,F3-boolean,F3-Object,F3-Character,F3-new EqualsBuilder().append(obj1 obj2).isEquals(),F3-char,F3-SystemUtils.isOSMatch(osName osVersion  Windows 9   4.1 ),F3-String,F3-int,F3-char[],F3-sb.toString(),F3-Date,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-julius@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-tn@apache.org,F71-sebb@apache.org,category
2238,840,11,120,0.4438976377952756,0.0433839479392624,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,343,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.6666666666666666,0.5625890587417208,0.3333333333333333,0.5625890587417208,0.0,904,1801,132,0,0,0,0,0,0,1,0,0,0,0,1,0,1,open
2238,840,11,120,0.889763779527559,0.0433839479392624,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,343,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.6304347826086957,0.2558385927730618,0.2608695652173913,0.2558385927730618,0.0,904,1801,132,0,0,0,0,0,0,1,0,0,0,0,1,0,1,close
2562,1117,223,120,0.3948814840261078,1.6942028985507247,0.6428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,343,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.375,0.6899001772206611,-0.25,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.4304362761937478,1.6942028985507247,0.6428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,343,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.375,0.6899001772206611,-0.25,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.4113706630024046,1.6942028985507247,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,343,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.375,0.6899001772206611,-0.25,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.4381655788388869,1.6942028985507247,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.375,0.6899001772206611,-0.25,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.0688766746822397,1.6942028985507247,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.6899001772206611,-0.8,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.0661284781861903,1.6942028985507247,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.6899001772206611,-0.8,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.0716248711782892,1.6942028985507247,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.6899001772206611,-0.8,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
2562,1117,223,120,0.0743730676743387,1.6942028985507247,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.6899001772206611,-0.8,0.6899001772206611,-1.0,1228,1801,4739,1,1,1,0,1,0,1,1,1,0,1,1,0,1,open
