F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Type[],F3-rb.contains(-10),F3-range.contains( c ),F3-new ToStringBuilder(base).append(array).toString(),F3-Class,F3-Integer,F3-CharUtils.toCharacterObject( a ),F3-baseStr +  [  + SystemUtils.LINE_SEPARATOR+    <null> + SystemUtils.LINE_SEPARATOR+  ] ,F3-boolean,F3-int[][],F3-CharUtils.toIntValue(new Character( A ) -1),F3-char,F3-String,F3-TypeUtils.isInstance(1 uriComparableType),F3-float[][],F3-int,F3-sb.toString(),F3-Comparable,F3-Locale,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-niallp@apache.org,F71-oheger@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-sebb@apache.org,category
2238,474,11,121,0.4447731755424063,0.0434782608695652,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,344,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.8333333333333334,0.5552680871869015,0.6666666666666666,0.5552680871869015,0.0,697,370,685,0,0,1,0,0,0,0,0,0,1,1,open
2238,474,11,121,0.8915187376725838,0.0434782608695652,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,344,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.7941176470588235,0.2647564154640469,0.5882352941176471,0.2647564154640469,0.0,697,370,685,0,0,1,0,0,0,0,0,0,1,1,close
2562,751,223,121,0.3966528640441684,1.7025316455696202,0.6428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,344,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.7125879389300751,-1.0,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.4323671497584541,1.7025316455696202,0.6428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,344,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.7125879389300751,-1.0,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.413216011042098,1.7025316455696202,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,344,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.7125879389300751,-1.0,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.4401311249137336,1.7025316455696202,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.7125879389300751,-1.0,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.0691856452726017,1.7025316455696202,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.7125879389300751,-0.8,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.0664251207729468,1.7025316455696202,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.7125879389300751,-0.8,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.0719461697722567,1.7025316455696202,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.7125879389300751,-0.8,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
2562,751,223,121,0.0747066942719116,1.7025316455696202,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.7125879389300751,-0.8,0.7125879389300751,-1.0,1021,370,4720,1,1,1,1,1,1,1,0,1,1,1,open
