,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.954,1.0,0.992,0.979,0.957
1,0.959,0.988,0.981,0.978,0.956
2,0.956,0.987,0.974,0.941,0.955
3,0.978,1.0,0.945,1.0,0.979
4,0.927,0.984,0.962,0.913,0.931
5,0.925,0.912,0.896,0.924,0.923
6,0.771,0.952,0.866,0.936,0.941
7,0.981,0.997,0.944,0.96,0.972
8,0.937,0.887,0.9,0.876,0.926
9,1.0,1.0,0.652,0.931,0.964
10,1.0,1.0,0.783,1.0,0.976
11,0.532,1.0,0.857,0.967,0.223
12,0.906,0.958,0.932,0.959,0.937
13,0.994,1.0,1.0,0.987,0.981
14,0.989,0.994,0.984,0.988,0.979
15,0.982,1.0,0.911,1.0,0.983
16,0.979,1.0,0.985,0.99,0.995
17,0.972,1.0,0.954,0.899,0.972
18,0.979,0.993,0.978,0.992,0.993
19,0.956,1.0,0.973,0.978,0.992
20,0.92,0.987,0.969,0.952,0.923
21,0.929,0.99,0.955,0.942,0.937
22,0.91,0.981,0.959,0.963,0.906
23,0.929,0.983,0.946,0.933,0.922
24,0.954,0.973,0.84,0.982,0.931
25,0.943,0.959,0.986,0.947,0.905
26,0.984,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0
28,0.992,0.98,0.849,0.968,0.997
29,0.978,0.983,0.909,0.921,0.959
30,0.968,0.985,0.896,0.923,0.929
31,0.979,0.99,0.842,0.91,0.953
32,0.974,0.992,0.906,0.944,0.975
33,0.964,0.985,0.965,0.958,0.956
34,0.959,0.989,0.984,0.932,0.952
35,0.969,0.982,0.933,0.909,0.948
