,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.946,0.996,0.991,0.98,0.961
1,0.956,0.989,0.976,0.968,0.958
2,0.954,0.976,0.972,0.955,0.766
3,0.889,0.898,0.954,0.962,0.911
4,0.891,0.976,0.963,0.903,0.891
5,0.945,0.94,0.923,0.941,0.947
6,0.827,0.942,0.897,0.926,0.924
7,0.921,0.921,0.941,0.955,0.92
8,0.917,0.915,0.936,0.904,0.831
9,0.889,0.889,0.753,0.878,0.893
10,0.854,0.948,0.847,0.97,0.882
11,0.635,0.783,0.779,0.806,0.347
12,0.918,0.936,0.938,0.942,0.934
13,0.966,0.962,0.997,0.959,0.966
14,0.898,0.898,0.921,0.876,0.916
15,0.949,0.975,0.922,0.88,0.962
16,0.95,0.985,0.985,0.955,0.952
17,0.936,0.976,0.959,0.93,0.933
18,0.945,0.955,0.941,0.914,0.937
19,0.929,0.982,0.979,0.95,0.938
20,0.86,0.973,0.969,0.953,0.857
21,0.876,0.981,0.963,0.957,0.864
22,0.871,0.973,0.963,0.954,0.869
23,0.856,0.974,0.961,0.949,0.853
24,0.945,0.982,0.89,0.977,0.952
25,0.93,0.966,0.979,0.966,0.918
26,0.939,0.962,0.97,0.97,0.962
27,0.943,0.923,0.963,0.982,0.943
28,0.905,0.959,0.906,0.953,0.929
29,0.91,0.941,0.915,0.901,0.917
30,0.904,0.913,0.908,0.922,0.897
31,0.894,0.915,0.884,0.913,0.917
32,0.952,0.97,0.921,0.955,0.955
33,0.954,0.981,0.968,0.967,0.952
34,0.944,0.963,0.944,0.943,0.951
35,0.957,0.98,0.939,0.944,0.946
