,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.889,0.944,0.889,0.944,0.889
1,0.96,0.98,0.94,0.86,0.94
2,0.786,0.929,0.929,1.0,0.286
3,0.875,0.875,1.0,1.0,0.875
4,0.878,0.898,0.878,0.888,0.888
5,0.962,0.944,0.938,0.941,0.971
6,0.844,0.856,0.894,0.838,0.869
7,0.691,0.489,0.819,0.904,0.691
8,0.9,0.923,0.969,0.931,0.731
9,0.629,0.629,0.8,0.686,0.686
10,1.0,1.0,1.0,1.0,1.0
11,0.625,0.5,0.562,0.5,0.625
12,0.916,0.888,0.822,0.897,0.916
13,1.0,0.842,0.947,1.0,1.0
14,0.569,0.458,0.597,0.583,0.667
15,0.917,0.917,0.917,0.917,0.917
16,0.903,0.935,0.903,0.774,0.871
17,0.771,0.829,0.829,0.857,0.714
18,0.867,0.867,0.867,0.867,0.933
19,1.0,1.0,1.0,1.0,1.0
20,0.777,0.871,0.915,0.911,0.746
21,0.778,0.922,0.926,0.946,0.735
22,0.75,0.875,0.899,0.875,0.745
23,0.69,0.915,0.94,0.905,0.705
24,0.974,1.0,0.895,0.974,1.0
25,1.0,1.0,1.0,1.0,1.0
26,0.8,0.8,0.8,0.8,0.8
27,0.917,0.833,1.0,0.917,0.917
28,0.863,0.943,0.953,0.943,0.905
29,0.865,0.851,0.892,0.892,0.885
30,0.824,0.813,0.929,0.918,0.852
31,0.85,0.8,0.91,0.88,0.9
32,0.784,0.784,0.659,0.841,0.784
33,1.0,0.977,0.977,0.977,1.0
34,0.811,0.789,0.689,0.844,0.833
35,0.953,0.884,0.93,0.93,0.953
