F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Session,F3-Integer,F3-Class,F3-PooledConnectionAndInfo,F3-Class<?>[],F3-InputStream,F3-ELContext,F3-byte[],F3-MappedHost[],F3-Object,F3-boolean,F3-Object[],F3-key.getSql(),F3-String,F3-long,F3-Reader,F3-int,F3-String[],F3-ObjectName,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-mturk@apache.org,F71-jboynes@apache.org,F71-fschumacher@apache.org,F71-remm@apache.org,F71-fhanik@apache.org,F71-kfujino@apache.org,F71-funkman@apache.org,F71-costin@apache.org,F71-kkolinko@apache.org,F71-jhook@apache.org,F71-markt@apache.org,F71-timw@apache.org,F71-billbarker@apache.org,F71-jfclere@apache.org,F71-rjung@apache.org,F71-pero@apache.org,F71-schultz@apache.org,F71-violetagg@apache.org,F71-markt@apache.org =  markt = Mark Emlyn David Thomas markt@apache.org@apache.org,F71-slaurent@apache.org,category
2967,22,7,14,21.5,0.5882352941176471,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,241,106,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,34,30,0.6957671957671958,1.304054054054054,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,0,255,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,open
17995,3382,23,30,2.238970588235294,1.46,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,0,100,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,23,30,2.3106617647058822,1.46,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,0,100,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,20,26,0.4682713347921225,1.5063291139240509,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15111,0,78,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,14,26,0.3653846153846153,2.125,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,0,79,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
8944,951,4,45,2.435897435897436,0.8888888888888888,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,6218,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,13,21,0.4519230769230769,0.573170731707317,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,1,251,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,open
17995,3382,13,21,1.2532051282051282,0.573170731707317,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,1,251,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,open
17995,3382,13,21,0.3221153846153846,0.573170731707317,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,1,251,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,open
17995,3382,13,21,0.9198717948717948,0.573170731707317,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,STYLE,REC_CATCH_EXCEPTION,2,-1.0,0.1481481481481481,0.2191132146192489,-0.7037037037037037,0.2191132146192489,-1.0,15269,1,251,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,open
17995,3382,19,21,0.7,1.2551724137931035,0.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.1304347826086956,0.0,-0.7391304347826086,0.0,-1.0,15269,1,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,19,21,1.4986111111111111,1.2551724137931035,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.1071428571428571,0.5230156640657648,-0.7857142857142857,0.5230156640657648,-1.0,15269,1,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,open
17995,3382,3,21,0.8823529411764706,0.7222222222222222,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.1481481481481481,0.2191132146192489,-0.7037037037037037,0.2191132146192489,-1.0,15269,1,5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,open
4879,295,20,11,0.9668508287292816,0.9213483146067416,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,STYLE,REC_CATCH_EXCEPTION,2,-1.0,0.1481481481481481,0.2191132146192489,-0.7037037037037037,0.2191132146192489,-1.0,2153,3,161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
