F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-EncryptionOptions,F3-PrintStream,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-boolean,F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-String[],F3-Thread,F3-BitSet,F3-ListenableFutureTask,F3-input,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-snazy@snazy.de,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,category
10814,1710,4,44,0.5135135135135135,0.4042553191489361,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,MALICIOUS_CODE,MS_MUTABLE_COLLECTION_PKGPROTECT,2,0.0,0.0,0.0352035967052202,-1.0,0.0352035967052202,-1.0,8979,95,29,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,open
10814,1710,4,44,0.9594594594594594,0.4042553191489361,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.1794871794871795,0.278234513135999,-0.6153846153846154,0.278234513135999,-1.0,9082,95,29,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,open
10896,1719,3,44,0.3734939759036144,0.3272727272727272,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,MALICIOUS_CODE,MS_PKGPROTECT,2,0.0,0.1,0.0352035967052202,-0.8,0.0352035967052202,-1.0,10320,95,67,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,open
10896,1719,3,44,0.6867469879518072,0.3272727272727272,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,3,-1.0,0.032258064516129,0.054411266302256,-0.935483870967742,0.054411266302256,-1.0,5870,95,67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,938,8,44,0.6347305389221557,0.1627906976744186,0.1363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.1067961165048543,9.026974593019176e-05,-0.7572815533980582,9.026974593019176e-05,-1.0,4801,95,140,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,938,8,44,0.2155688622754491,0.1627906976744186,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.3617021276595745,0.278234513135999,-0.2340425531914893,0.278234513135999,-1.0,4801,95,140,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,938,8,44,0.8922155688622755,0.1627906976744186,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,2,-1.0,0.0833333333333333,0.278234513135999,-0.8333333333333334,0.278234513135999,-1.0,4801,95,140,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4011,462,2,44,0.6349206349206349,0.5483870967741935,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,-1.0,0.2,0.0653943199930746,-0.4,0.0653943199930746,-1.0,2279,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,open
1898,33,24,44,0.1538461538461538,0.1111111111111111,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,PERFORMANCE,DM_GC,1,-1.0,0.0,0.0653943199930746,-1.0,0.0653943199930746,-1.0,1312,95,501,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,open
1898,33,24,44,0.9959514170040484,0.1111111111111111,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STYLE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,-1.0,0.2105263157894736,0.054411266302256,-0.5789473684210527,0.054411266302256,-1.0,6371,95,501,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,open
