F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-EncryptionOptions,F3-Composites.EMPTY,F3-PrintStream,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-boolean,F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-String[],F3-Thread,F3-BitSet,F3-input,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,category
10814,1437,4,44,0.5135135135135135,0.4042553191489361,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,MALICIOUS_CODE,MS_MUTABLE_COLLECTION_PKGPROTECT,2,0.0,0.3571428571428571,0.2016301015882386,-0.2857142857142857,0.2016301015882386,-1.0,7561,2,25,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,open
10814,1437,4,44,0.9594594594594594,0.4042553191489361,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.4482758620689655,0.3307516718356721,-0.0689655172413793,0.3307516718356721,-1.0,7664,2,25,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,open
10896,1446,3,44,0.3734939759036144,0.3272727272727272,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,MALICIOUS_CODE,MS_PKGPROTECT,2,0.0,0.2222222222222222,0.2016301015882386,-0.5555555555555556,0.2016301015882386,1.0,8902,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,close
10896,1446,3,44,0.6867469879518072,0.3272727272727272,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,3,1.0,0.0549450549450549,0.7658131194859842,-0.8791208791208791,0.7658131194859842,1.0,4452,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,close
6533,665,8,44,0.6347305389221557,0.1627906976744186,0.1363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.5294117647058824,0.0085751642500655,0.1372549019607843,0.0085751642500655,-1.0,3383,2,140,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,665,8,44,0.2155688622754491,0.1627906976744186,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.2553191489361702,0.3307516718356721,-0.4468085106382978,0.3307516718356721,-1.0,3383,2,140,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,665,8,44,0.8922155688622755,0.1627906976744186,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,2,-1.0,0.4166666666666667,0.3307516718356721,-0.1666666666666666,0.3307516718356721,-1.0,3383,2,140,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4011,189,2,44,0.6349206349206349,0.5483870967741935,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,-1.0,0.1428571428571428,0.1947702742632286,-0.5714285714285714,0.1947702742632286,-1.0,861,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,open
4653,301,22,44,0.9957894736842106,0.1165311653116531,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,-1.0,0.2777777777777778,0.7658131194859842,-0.3333333333333333,0.7658131194859842,-1.0,4953,2,559,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,open
5999,561,37,44,0.5514511873350924,0.1047297297297297,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.1153846153846153,0.7658131194859842,-0.7692307692307693,0.7658131194859842,-1.0,9185,2,200,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,open
