F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-CFMetaData,F3-Class,F3-EncryptionOptions,F3-Composites.EMPTY,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-type.toString().toLowerCase(),F3-boolean,F3-e.getKey().toLowerCase(),F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-BitSet,F3-input,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-xedin@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-jakers@gmail.com,F71-benedict@apache.org,F71-marcuse@apache.org,F71-marcuse@spotify.com,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,category
10814,1345,4,44,0.5135135135135135,0.4042553191489361,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,MALICIOUS_CODE,MS_MUTABLE_COLLECTION_PKGPROTECT,2,0.0,0.5,0.31604098266049,0.0,0.31604098266049,-1.0,7228,6,25,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,open
10814,1345,4,44,0.9594594594594594,0.4042553191489361,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,-1.0,0.4642857142857143,0.3922751223959884,-0.0357142857142857,0.3922751223959884,-1.0,7331,6,25,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,open
10896,1354,3,44,0.3734939759036144,0.3272727272727272,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,MALICIOUS_CODE,MS_PKGPROTECT,2,0.0,0.2222222222222222,0.31604098266049,-0.5555555555555556,0.31604098266049,1.0,8569,6,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,close
10896,1354,3,44,0.6867469879518072,0.3272727272727272,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,3,1.0,0.0549450549450549,0.7759481653230883,-0.8791208791208791,0.7759481653230883,1.0,4119,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
6533,573,8,44,0.6347305389221557,0.1627906976744186,0.1363636363636363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.5816326530612245,0.0034916668319417,0.2448979591836734,0.0034916668319417,-1.0,3050,6,140,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,573,8,44,0.2155688622754491,0.1627906976744186,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2,0.0,0.3023255813953488,0.3922751223959884,-0.3488372093023256,0.3922751223959884,-1.0,3050,6,140,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
6533,573,8,44,0.8922155688622755,0.1627906976744186,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,2,-1.0,0.4666666666666667,0.3922751223959884,-0.0666666666666666,0.3922751223959884,-1.0,3050,6,140,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
4011,97,2,44,0.6349206349206349,0.5483870967741935,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,-1.0,0.5,0.1851216715970729,0.0,0.1851216715970729,-1.0,528,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,open
4653,209,23,44,0.9958847736625516,0.1131578947368421,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,-1.0,0.5,0.7759481653230883,0.125,0.7759481653230883,-1.0,4620,6,277,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,open
5999,469,37,44,0.5514511873350924,0.1047297297297297,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,1.0,0.2222222222222222,0.7759481653230883,-0.5555555555555556,0.7759481653230883,1.0,565,6,200,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,close
