F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
10851,4019,60,146,0.3772378516624041,0.9756427604871448,1.0,114,3,0.3333333333333333,0.4,0.3173372563340843,-0.2,0.3173372563340843,0.1428571428571428,8776,0,2441,close
10851,4019,60,146,0.9980818414322252,0.9756427604871448,0.8333333333333334,114,2,-1.0,0.0,0.1698480301631271,-1.0,0.1698480301631271,0.1428571428571428,1063,0,2441,open
10851,4019,60,146,0.4936061381074169,0.9756427604871448,0.6309523809523809,114,3,0.5,0.3114754098360656,0.3173372563340843,-0.3770491803278688,0.3173372563340843,0.1428571428571428,12540,0,2441,close
10851,4019,60,146,0.1374680306905371,0.9756427604871448,0.7169312169312169,114,3,0.5,0.3114754098360656,0.3173372563340843,-0.3770491803278688,0.3173372563340843,0.1428571428571428,12540,0,2441,close
10851,4019,60,146,0.7672634271099744,0.9756427604871448,0.2272727272727272,114,3,-1.0,0.0,0.3213420660359223,-1.0,0.3213420660359223,0.1428571428571428,12540,0,2441,open
10851,4019,60,146,0.3727621483375959,0.9756427604871448,0.2307692307692307,114,3,0.3333333333333333,0.2,0.3213420660359223,-0.6,0.3213420660359223,0.1428571428571428,9808,0,2441,open
10851,4019,60,146,0.3772378516624041,0.9756427604871448,1.0,114,3,0.3333333333333333,0.4666666666666667,0.3213420660359223,-0.0666666666666666,0.3213420660359223,0.1428571428571428,8776,0,2441,close
6363,3248,10,146,0.8691099476439791,0.2253521126760563,1.0,114,1,-1.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,0.3333333333333333,1051,0,303,open
6363,3248,10,146,0.2722513089005235,0.2253521126760563,0.8333333333333334,114,2,1.0,0.7647058823529411,0.3095016039504036,0.5294117647058824,0.3095016039504036,0.3333333333333333,7928,0,303,close
6363,3248,10,146,0.3979057591623036,0.2253521126760563,0.1,114,3,1.0,0.0707070707070707,0.3213420660359223,-0.8585858585858586,0.3213420660359223,0.3333333333333333,1059,0,303,close
6363,3248,22,146,0.7809278350515464,0.7821782178217822,0.6666666666666666,114,3,-0.5,0.3114754098360656,0.3173372563340843,-0.3770491803278688,0.3173372563340843,-1.0,6619,0,193,open
6363,3248,22,146,0.3298969072164948,0.7821782178217822,0.8333333333333334,114,3,-0.5,0.3114754098360656,0.3173372563340843,-0.3770491803278688,0.3173372563340843,-1.0,6619,0,193,open
6363,3248,22,146,0.5927835051546392,0.7821782178217822,1.0,114,2,-1.0,0.2,0.3213420660359223,-0.6,0.3213420660359223,-1.0,6619,0,193,open
6363,3248,22,146,0.5670103092783505,0.7821782178217822,1.0,114,3,-1.0,0.2,0.3213420660359223,-0.6,0.3213420660359223,-1.0,6619,0,193,open
718,130,10,146,0.8988095238095238,0.2869565217391304,0.3333333333333333,114,1,0.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,0.0,5,0,134,open
718,130,10,146,0.9017857142857144,0.2869565217391304,0.0859375,114,2,0.0,1.0,0.3095016039504036,1.0,0.3095016039504036,0.0,5,0,134,close
8618,3842,125,146,0.0522267206477732,1.405857740585774,1.0,114,2,0.0,0.6,0.3173372563340843,0.2,0.3173372563340843,-0.1428571428571428,12781,0,9296,close
13494,4736,29,146,0.0845864661654135,0.9710743801652892,1.0,114,2,0.0,0.6,0.3173372563340843,0.2,0.3173372563340843,0.0,12781,0,879,open
13494,4736,29,146,0.1767151767151767,1.5402298850574712,1.0,114,2,0.0,0.6,0.3173372563340843,0.2,0.3173372563340843,0.0,12781,0,800,close
6363,3248,36,146,0.5512152777777778,1.02734375,0.2159090909090909,114,1,-1.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,-1.0,7237,0,196,open
6363,3248,36,146,0.8125,1.02734375,0.4,114,1,-1.0,0.0,0.3173372563340843,-1.0,0.3173372563340843,-1.0,9455,0,196,open
8127,3649,46,146,0.4572727272727273,0.6484751203852327,0.6666666666666666,114,2,-1.0,0.0,0.1698480301631271,-1.0,0.1698480301631271,-1.0,6619,0,1636,open
8127,3649,46,146,0.4018181818181818,0.6484751203852327,0.95,114,2,-1.0,0.0,0.1698480301631271,-1.0,0.1698480301631271,-1.0,6614,0,1636,open
8127,3649,46,146,0.3763636363636363,0.6484751203852327,0.95,114,2,-1.0,0.0,0.1698480301631271,-1.0,0.1698480301631271,-1.0,7414,0,1636,open
11125,4033,20,146,0.2921052631578947,0.943502824858757,0.6666666666666666,114,1,-1.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,-1.0,10466,0,631,open
11125,4033,20,146,0.2657894736842105,0.943502824858757,0.6666666666666666,114,1,-1.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,-1.0,10466,0,631,open
1741,1240,3,146,0.6973684210526315,0.3269230769230769,1.0,114,3,0.0,0.475,0.1484261621315192,-0.05,0.1484261621315192,1.0,1028,0,15,close
6363,3248,10,146,0.6907630522088354,1.1132075471698113,0.4,114,1,-1.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,-1.0,9087,0,359,open
6363,3248,10,146,0.7469879518072289,1.1132075471698113,0.4,114,1,-1.0,0.1867469879518072,0.003427425665023,-0.6265060240963856,0.003427425665023,-1.0,9087,0,359,open
8614,3828,35,146,0.7023031434796141,0.4541387024608501,0.0698496905393457,114,2,0.0,0.6875,0.0016038402490817,0.375,0.0016038402490817,-0.7142857142857143,7901,0,571,close
