F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-Long,F3-PrintStream,F3-File,F3-Project,F3-byte[],F3-null,F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-long,F3-int,F3-Project.MSG_DEBUG,F3-Path,F3-Locale,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-kevj@apache.org,F71-dev-null@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,category
10851,3653,60,148,0.3767560664112388,0.9730094466936572,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,BAD_PRACTICE,DE_MIGHT_IGNORE,3,0.3333333333333333,0.3333333333333333,0.4514785612008551,-0.3333333333333333,0.4514785612008551,0.1428571428571428,8610,14,2539,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,close
10851,3653,60,148,0.9980842911877394,0.9730094466936572,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,MALICIOUS_CODE,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,2,-1.0,0.0,0.1740548406037683,-1.0,0.1740548406037683,0.1428571428571428,897,14,2539,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open
10851,3653,60,148,0.4936143039591315,0.9730094466936572,0.6309523809523809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,BAD_PRACTICE,NM_CONFUSING,3,0.5,0.360655737704918,0.4514785612008551,-0.2786885245901639,0.4514785612008551,0.1428571428571428,12374,14,2539,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,close
10851,3653,60,148,0.1372924648786717,0.9730094466936572,0.7169312169312169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,117,BAD_PRACTICE,NM_CONFUSING,3,0.5,0.360655737704918,0.4514785612008551,-0.2786885245901639,0.4514785612008551,0.1428571428571428,12374,14,2539,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,close
10851,3653,60,148,0.7662835249042146,0.9730094466936572,0.2272727272727272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.4517481924711777,-1.0,0.4517481924711777,0.1428571428571428,12374,14,2539,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,open
10851,3653,60,148,0.3722860791826309,0.9730094466936572,0.2307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,0.3333333333333333,0.2162162162162162,0.4517481924711777,-0.5675675675675675,0.4517481924711777,0.1428571428571428,9642,14,2539,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,open
10851,3653,60,148,0.3767560664112388,0.9730094466936572,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,STYLE,REC_CATCH_EXCEPTION,3,0.3333333333333333,0.4565217391304347,0.4517481924711777,-0.0869565217391304,0.4517481924711777,0.1428571428571428,8610,14,2539,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,close
6363,2882,10,148,0.8691099476439791,0.2253521126760563,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.2242424242424242,0.0049357761844129,-0.5515151515151515,0.0049357761844129,0.3333333333333333,885,14,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open
6363,2882,10,148,0.2617801047120419,0.2253521126760563,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,CORRECTNESS,IJU_TEARDOWN_NO_SUPER,2,1.0,0.7647058823529411,0.2351743470059592,0.5294117647058824,0.2351743470059592,0.3333333333333333,7762,14,63,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,close
6363,2882,10,148,0.387434554973822,0.2253521126760563,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,117,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,1.0,0.1111111111111111,0.4517481924711777,-0.7777777777777778,0.4517481924711777,0.3333333333333333,893,14,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,close
